Brand,Product,What it is,what is product used for,If you want to know more,Ingredients,Item Link
Dr. Jart+,Dermaclear™ Micro Gel Cleanser,An all-in-one cleanser with moisturizing capsules that removes all makeup and impurities to visibly brighten tone and soften.,['- Dryness- Uneven skin tone- Pores'], Dermaclear Micro Gentle Gel Cleanser is a gel-to-foam cleanser with moisturizing capsules that remove all makeup—even waterproof makeup—and impurities in pores without stripping the skin of moisture. The all-in-one cleanser works to visibly brighten tone and soften skin for a refreshed and healthy complexion. Formulated for all skin types and tested by dermatologists it is safe for the eye area and lips.,,https://www.sephora.com/product/dermaclear-micro-gel-cleanser-P417979?icid2=products%20grid:p417979:product
Dr. Jart+,Dermask Ultra Jet Peeling Solution,A bubbling mask that exfoliates skin evens out the appearance of skin tone and helps deeply clear out pores.,['- Pores- Uneven skin tone- Dullness and uneven texture '],See fresh smooth clear skin with this innovative bubbling mask that exfoliates skin’s surface and evens out the appearance of skin tone. The two-step Dermask Ultra Jet Peeling Solution mask is formulated with carbonic acid powder infused with carbon dioxide which activates to help deeply penetrate and clear out pores. A blend of sugar scrub and fruit acids including papaya enzymes help to gently resurface skin and even out the complexion. Soothing allantoin and olive oil give comfort and add moisture to skin leaving it soft and cushiony. The innovative cellulose sheet mask has a natural violet hue that changes color to indicate the shift in your skin’s pH balance.,,https://www.sephora.com/product/dermask-ultra-jet-peeling-solution-P433884?icid2=products%20grid:p433884:product
Dr. Jart+,Dermask Micro Jet Brightening Solution™,[' A microfiber sheet mask that instantly brightens dull and uneven skintone.'],['- Dullness and uneven texture- Dark spots- Acne and blemishes'], Dermask Micro Jet Brightening Solution™  is made with fine microfiber to help active ingredients penetrate deeply for ultimate brightening benefits. A powerful antioxidants glutathione niacinamide and a-bisabolol visibly brightens skin to reduce the appearance of hyperpigmentation such as dark spots acne scars and discoloration while inhibiting melanin production. ,,https://www.sephora.com/product/dermask-micro-jet-brightening-solution-P397625?icid2=products%20grid:p397625:product
Dr. Jart+,Pore Minimalist Black Charcoal Sheet Mask,[' A black sheet mask infused with Korean charcoal to detoxify and reduce the appearance of pores.'],['- Pores- Oiliness- Acne and blemishes'],The Pore Minimalist Black Charcoal Sheet Mask contains Korean charcoal spearmint extract and arginine to detoxify improve elasticity and clarify pores. Ideal for blemishes large pores and excess sebum this powerful mask also delivers an immediate cooling sensation leaving skin feeling clean hydrated and completely refreshed.,,https://www.sephora.com/product/pore-minimalist-black-charcoal-sheet-mask-P386840?icid2=products%20grid:p386840:product
Dr. Jart+,Shake & Shot™ Rubber Hydro Mask,A fun DIY rubbery modeling mask that infuses skin with potent actives to smooth for a healthy dewy-looking complexion.,['- Dryness- Redness- Fine lines and wrinkles'],"This Hydro Mask moisturizes and revitalizes the complexion with a cocktail of Vitamin B5 (panthenol) and Expert Moist Complex which is rich in amino acids to help strengthen skin’s moisture barrier. Just shake it up and give skin a hydrating shot. Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin more deeply than a sheet mask to deliver high-potency active ingredients. Each freshly-made mask penetrates skin surface to deliver the benefits your skin needs most quickly and effectively. ",,https://www.sephora.com/product/shake-shot-rubber-hydro-mask-P428654?icid2=products%20grid:p428654:product
Dr. Jart+,Water Fuse Hydro Soothe Eye Gel,['A cooling eye cream that relieves puffiness to wake up tired-looking eyes.'],['- Puffiness- Loss of firmness and elasticity- Dryness'],Water Fuse Hydro Soothe Eye Gel is an ultra-hydrating eye gel-cream that provides lasting hydration while reducing the appearance of puffiness with pumpkin extract arnica and bromelain. This formula contains a blend of AquaMinerals which directs waterflow and helps maintain balanced moisture levels visibly boosting firmness and elasticity. Himalayan pink salt supports natural cell regeneration while Belgium hot spring water and natural barrier complex remove impurities from pores and provide soothing and antibacterial benefits. Aquaicia and oligo-HA hydrates to keep skin looking and feeling healthy and bright.,,https://www.sephora.com/product/water-fuse-hydro-soothe-eye-gel-P421003?icid2=products%20grid:p421003:product
Dr. Jart+,Shake & Shot™ Rubber Soothing Mask,A fun DIY rubbery modeling mask that infuses skin with potent actives to smooth for a healthy dewy-looking complexion.,['- Dryness- Redness and irritation- Blemishes'],"['This soothing mask calms and repairs the complexion. The ampoule contains Vitamin K3 (menadione) and a soothing botanical complex to calm irritated skin. Just shake it up and give sensitive skin a soothing shot. Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin more deeply than a sheet mask to deliver high-potency active ingredients. Each freshly-made mask penetrates skin surface to deliver the benefits your skin needs most quickly and effectively. ']",,https://www.sephora.com/product/shake-shot-rubber-soothing-mask-P428657?icid2=products%20grid:p428657:product
Dr. Jart+,Dermask Intra Jet Wrinkless Solution™,['A cellulose sheet mask that promotes visible skin elasticity and firmness.'],['- Fine lines and wrinkles- Loss of firmness and elasticity'], Dermask Intra Jet Firming Solution is made with a thermosensitive gel which is activated by body heat to penetrate the skin. Bio-peptide restores the appearance of healthy skin structure by supporting natural elastin synthesis. Coenzyme Q10 and beta-glucan work together to maintain and support the appearance of skin elasticity while lifting and firming the look of sagging skin for a youthful complexion. ,,https://www.sephora.com/product/dermask-intra-jet-wrinkless-solution-P397626?icid2=products%20grid:p397626:product
Dr. Jart+,Shake & Shot™ Rubber Brightening Mask,A fun DIY rubbery modeling mask that infuses skin with potent actives to smooth for a healthy dewy-looking complexion.,['- Dullness and uneven texture- Dark spots and uneven skintone- Blemishes']," This Rubber Brightening Mask brightens dull skin with vitamin C (ascorbic acid) and sea buckthorn fruit extract which is rich in vitamins. The result is a more even out skin tone diminished darkness and a revitalized appaearance. The fun application process lets you shake it up and give skin a brightening boost. Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin more deeply than a sheet mask to deliver high-potency active ingredients. Each freshly-made mask penetrates skin surface to deliver the benefits your skin needs most quickly and effectively. ",,https://www.sephora.com/product/shake-shot-rubber-brightening-mask-P428655?icid2=products%20grid:p428655:product
Dr. Jart+,Dermask Intra Jet Firming Solution™,"["" A cellulose sheet mask that promotes the skin's elasticity and firmness.""]",['- Fine lines and wrinkles- Loss of firmness and elasticity- Dullness and uneven texture'], Dermask Intra Jet Firming Solution™ is made with a thermosensitive gel where body heat activates the active ingredients to penetrate deeply into the skin. Bio-peptide restores the appearance of healthy skin structure by supporting natural and elastin synthesis. Coenzyme Q10 and beta-glucan works together to maintain and promote skin elasticity while lifting and firming the look of sagging skin for a youthful appearance. ,,https://www.sephora.com/product/dermask-intra-jet-firming-solution-P397627?icid2=products%20grid:p397627:product
Dr. Jart+,Air Mesh, A multifunctional light-as-air cushion with a soft creamy texture that lets your skin breathe with buildable long-lasting coverage.,['- Dryness- Pores- Dullness and uneven texture'], This multifunctional BB cream is a convergence between skin care and makeup. The cream-to-powder formula has air-fitting technology that allows the skin to breathe all day long. Enriched with 70 percent moisturizing ingredients such as oxygen water marine complex and phyto complex it’ll keep skin looking as healthy and vibrant as ever by delivering anti-redness detoxifying and soothing benefits to the skin. Powerful broad-spectrum SPF 30 will defend against sun exposure while its anti-pollution properties will serve as a barrier against harmful dust in the environment. The moist textured balm conceals blemishes enlarged pores and uneven skin tone and texture to perfect skin’s complexion—leaving a naturally flawless finish.,,https://www.sephora.com/product/air-mesh-P416583?icid2=products%20grid:p416583:product
Dr. Jart+,Shake & Shot™ Rubber Firming Mask,A fun DIY rubbery modeling mask that infuses skin with potent actives to smooth for a healthy dewy-looking complexion.,['- Fine lines and wrinkles- Loss of firmness and elasticity- Dullness and uneven texture'],"[' Rubber Firming Mask improves skin elasticity and firmness. The Firming Mask ampoule contains vitamin A (retinol) and OxyForce™ Cellular Active to help support natural collagen synthesis and elasticity to firm the appearance of sagging skin. Just shake it up and give skin a firming shot. Dr.Jart uses the same ""rubber mask"" technique found in high-end Korean spas to achieve equivalent high-performance results—without the fuss of mixing a traditional modeling pack. The innovative cream-to-sheet formula penetrates skin more deeply than a sheet mask to deliver high-potency active ingredients. Each freshly-made mask penetrates skin surface to deliver the benefits your skin needs most quickly and effectively. ']",,https://www.sephora.com/product/shake-shot-rubber-firming-mask-P428656?icid2=products%20grid:p428656:product
Dr. Jart+,Liftra™ 3-Step Contour Set,A contouring skin care set comprised of full-size Contour Cream Contour Fixer and a Contour Shaper.,[],[],,https://www.sephora.com/product/liftra-3-step-contour-set-P406609?icid2=products%20grid:p406609:product
Dr. Jart+,Peptidin™ Firming Serum with Energy Peptides,A silky ultra-light serum with eight-peptide complex and borage flower extract for a super boost of cushiony plumping.,['- Dullness and uneven texture- Dryness'],Power-packed with eight-peptide complex and borage flower extract this silky serum is the perfect treat for a rough depleted and fatigued complexion. Eight powerful peptides replenish and recharge tired skin instantly and over time—with just a few drops needed for a firm plump and pillowy feel.,,https://www.sephora.com/product/firming-serum-with-energy-peptides-P437240?icid2=products%20grid:p437240:product
Dr. Jart+,Peptidin™ Radiance Serum with Energy Peptides, A light watery serum with eight-peptide complex and peach flower extract for an immediate pop of radiance.,['- Dullness and uneven texture- Dryness'],Power-packed with eight-peptide complex and peach flower extract this lightweight serum is the ultimate skin treat for a dull low-energy tired complexion. Eight powerful peptides replenish and recharge tired skin instantly and over time—with just a few drops provide a healthy re-energized glow.,,https://www.sephora.com/product/radiance-serum-with-energy-peptides-P437239?icid2=products%20grid:p437239:product
Sephora Favorites,Beauty Unmasked,[],[],[],,https://www.sephora.com/product/beauty-unmasked-P438540?icid2=products%20grid:p438540:product
Sephora Favorites,Soko to Tokyo,[],[],[],,https://www.sephora.com/product/soko-to-tokyo-P437991?icid2=products%20grid:p437991:product
